time,open,high,low,close,tick_volume,spread,real_volume,hour,day_of_week,MA20,range,momentum,vol_avg,volume_spike,h1_prev_high,h1_prev_low,h1_bos_up,h1_bos_down,h1_ma20,h1_momentum,h1_trend,h1_bias,prev_high,prev_low,bos_up,bos_down,trend
2026-04-14 06:50:00,4772.99,4781.57,4771.01,4778.89,1202,15,0,6,1,4765.7785,10.55999999999949,5.900000000000546,965.95,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4774.33,4768.84,1,0,bullish
2026-04-14 06:55:00,4778.89,4782.96,4778.64,4781.99,1475,15,0,6,1,4766.5425,4.319999999999709,3.0999999999994543,998.8,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4781.57,4771.01,1,0,bullish
2026-04-14 07:00:00,4782.17,4789.79,4781.05,4786.76,1580,15,0,7,1,4767.6405,8.739999999999782,4.770000000000437,1048.35,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4782.96,4778.64,1,0,bullish
2026-04-14 07:05:00,4786.76,4796.12,4786.6,4793.7,1638,15,0,7,1,4769.0885,9.519999999999529,6.9399999999996,1083.0,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4789.79,4781.05,1,0,bullish
2026-04-14 07:10:00,4793.7,4793.7,4786.13,4790.32,1469,15,0,7,1,4770.505,7.569999999999709,-3.380000000000109,1087.45,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4796.12,4786.6,0,1,bearish
2026-04-14 07:15:00,4790.32,4791.79,4784.42,4784.93,1206,15,0,7,1,4771.7945,7.369999999999891,-5.389999999999418,1082.95,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4793.7,4786.13,0,1,bearish
2026-04-14 07:20:00,4784.93,4787.11,4772.19,4772.86,1412,15,0,7,1,4772.3835,14.920000000000073,-12.070000000000618,1085.8,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4791.79,4784.42,0,1,bearish
2026-04-14 07:25:00,4772.79,4774.99,4767.99,4772.46,1452,15,0,7,1,4772.799499999999,7.0,-0.3999999999996362,1106.3,True,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4787.11,4772.19,0,1,bearish
2026-04-14 07:30:00,4772.64,4776.04,4772.3,4772.67,1000,15,0,7,1,4773.35,3.7399999999997817,0.2100000000000363,1101.45,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4774.99,4767.99,1,0,bullish
2026-04-14 07:35:00,4772.67,4777.95,4771.93,4777.94,758,15,0,7,1,4774.241,6.019999999999527,5.269999999999527,1090.7,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4776.04,4772.3,1,1,bullish
2026-04-14 07:40:00,4777.94,4779.84,4774.14,4777.95,893,15,0,7,1,4774.905000000001,5.699999999999818,0.0100000000002182,1075.95,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4777.95,4771.93,1,0,bullish
2026-04-14 07:45:00,4777.95,4780.66,4777.34,4777.93,1020,15,0,7,1,4775.321,3.319999999999709,-0.019999999999527,1071.45,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4779.84,4774.14,1,0,bullish
2026-04-14 07:50:00,4777.74,4778.32,4774.09,4775.32,1068,15,0,7,1,4775.789500000001,4.229999999999563,-2.610000000000582,1090.0,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4780.66,4777.34,0,1,bearish
