time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 12:30:00,4683.36,4684.65,4679.28,4682.93,1599,4,0,1599
2026-04-24 12:35:00,4682.93,4684.11,4681.07,4682.9,1177,4,0,1177
2026-04-24 12:40:00,4682.9,4688.5,4682.25,4685.99,1332,4,0,1332
2026-04-24 12:45:00,4685.99,4686.84,4684.44,4685.15,923,4,0,923
2026-04-24 12:50:00,4685.15,4685.32,4679.44,4682.16,1343,4,0,1343
2026-04-24 12:55:00,4682.16,4684.3,4680.12,4682.11,1276,4,0,1276
2026-04-24 13:00:00,4682.11,4684.55,4681.48,4683.79,1245,4,0,1245
2026-04-24 13:05:00,4683.79,4684.84,4680.82,4683.44,1112,4,0,1112
2026-04-24 13:10:00,4683.44,4683.55,4681.13,4682.24,1077,4,0,1077
2026-04-24 13:15:00,4682.24,4683.65,4681.37,4682.93,1000,4,0,1000
2026-04-24 13:20:00,4682.92,4684.4,4680.26,4683.54,1234,4,0,1234
2026-04-24 13:25:00,4683.54,4686.19,4682.16,4682.17,1251,4,0,1251
2026-04-24 13:30:00,4682.17,4682.33,4675.12,4675.25,1753,4,0,1753
2026-04-24 13:35:00,4675.28,4678.81,4674.56,4677.31,1282,4,0,1282
2026-04-24 13:40:00,4677.31,4681.2,4677.01,4678.96,1268,4,0,1268
2026-04-24 13:45:00,4678.94,4679.81,4677.67,4679.61,989,4,0,989
2026-04-24 13:50:00,4679.61,4680.45,4676.65,4677.21,826,4,0,826
2026-04-24 13:55:00,4677.22,4680.34,4676.86,4677.78,1105,4,0,1105
2026-04-24 14:00:00,4677.78,4690.97,4677.73,4689.84,1835,4,0,1835
2026-04-24 14:05:00,4689.8,4703.45,4687.35,4696.29,3608,4,0,3608
2026-04-24 14:10:00,4696.29,4701.88,4695.65,4697.19,2523,4,0,2523
2026-04-24 14:15:00,4697.19,4700.52,4692.56,4695.22,2269,4,0,2269
2026-04-24 14:20:00,4695.22,4712.01,4692.64,4709.44,3476,4,0,3476
2026-04-24 14:25:00,4709.15,4717.03,4706.61,4715.4,2794,4,0,2794
2026-04-24 14:30:00,4715.38,4717.24,4710.25,4713.0,2539,4,0,2539
2026-04-24 14:35:00,4713.0,4713.27,4706.22,4707.11,2041,4,0,2041
2026-04-24 14:40:00,4707.11,4709.69,4705.1,4705.4,1549,4,0,1549
2026-04-24 14:45:00,4705.4,4705.78,4702.88,4704.38,1645,4,0,1645
2026-04-24 14:50:00,4704.38,4707.3,4703.12,4706.48,1546,4,0,1546
2026-04-24 14:55:00,4706.48,4708.31,4705.16,4706.88,1449,4,0,1449
2026-04-24 15:00:00,4706.91,4709.98,4704.99,4707.31,2279,4,0,2279
2026-04-24 15:05:00,4707.31,4707.81,4703.33,4705.5,1661,4,0,1661
2026-04-24 15:10:00,4705.5,4710.52,4705.34,4708.65,1782,4,0,1782
2026-04-24 15:15:00,4708.68,4711.76,4701.36,4706.0,2157,4,0,2157
2026-04-24 15:20:00,4706.0,4711.53,4703.82,4709.1,2155,4,0,2155
2026-04-24 15:25:00,4709.1,4710.75,4707.26,4710.17,1465,4,0,1465
2026-04-24 15:30:00,4710.17,4711.61,4705.81,4705.95,1713,4,0,1713
2026-04-24 15:35:00,4705.95,4707.44,4703.55,4705.79,1879,4,0,1879
2026-04-24 15:40:00,4705.81,4706.94,4698.69,4698.74,1675,4,0,1675
2026-04-24 15:45:00,4698.74,4699.35,4690.39,4692.34,1864,4,0,1864
2026-04-24 15:50:00,4692.34,4695.33,4690.51,4693.6,1871,4,0,1871
2026-04-24 15:55:00,4693.6,4701.06,4693.51,4700.73,2021,4,0,2021
2026-04-24 16:00:00,4700.96,4703.21,4696.31,4697.79,2199,4,0,2199
2026-04-24 16:05:00,4697.79,4702.95,4696.09,4700.49,1943,4,0,1943
2026-04-24 16:10:00,4700.49,4705.62,4699.3,4702.99,2241,4,0,2241
2026-04-24 16:15:00,4702.99,4705.17,4699.65,4702.29,1811,4,0,1811
2026-04-24 16:20:00,4702.29,4704.29,4695.55,4696.22,1936,4,0,1936
